system:index,risk,.geo
0,0.99,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-47.35183149692511,-2.974266956985601],[-47.340652049751036,-2.974266956985601],[-47.340652049751036,-2.9698526220833097],[-47.35183149692511,-2.9698526220833097],[-47.35183149692511,-2.974266956985601]]]}"
1,0.96,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-47.35655479268386,-2.9899601055843514],[-47.34755329922988,-2.9899601055843514],[-47.34755329922988,-2.9743922179691435],[-47.35655479268386,-2.9743922179691435],[-47.35655479268386,-2.9899601055843514]]]}"
2,0.95,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-47.364149166955805,-2.9914147999691933],[-47.3582590359591,-2.9914147999691933],[-47.3582590359591,-2.981418390382263],[-47.364149166955805,-2.981418390382263],[-47.364149166955805,-2.9914147999691933]]]}"
3,0.9,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-47.352577708590864,-3.0020203630851774],[-47.344101928103804,-3.0020203630851774],[-47.344101928103804,-2.991456196892949],[-47.352577708590864,-2.991456196892949],[-47.352577708590864,-3.0020203630851774]]]}"
4,0.89,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-47.37259068431203,-3.000509716180949],[-47.36428656520192,-3.000509716180949],[-47.36428656520192,-2.9909526726561997],[-47.37259068431203,-2.9909526726561997],[-47.37259068431203,-3.000509716180949]]]}"
5,0.88,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-47.372719430344745,-3.0093876257103798],[-47.366496705430194,-3.0093876257103798],[-47.366496705430194,-3.00070921845142],[-47.372719430344745,-3.00070921845142],[-47.372719430344745,-3.0093876257103798]]]}"
