system:index,classes,ksat,slope,distance,elevation,hand,twi,landcover_classification_2023,.geo
0,0,12.117901599110999,0.22802904,150.0,79.45111111111186,8.629734,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35107448334199,-2.9774435513320507]}"
1,0,11.36191127940136,1.1733527,139.2838827718412,79.23666666667317,9.854395,13.215096,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35107448334199,-2.97879102425823]}"
2,0,11.065610821110646,3.7065465,470.95647357266466,82.62444444447584,9.048781,12.479272,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.34716681185607,-2.9837766740850933]}"
3,0,12.828856816147095,1.3611879,117.04699910719626,76.52888888890284,1.7834654,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36522294906687,-2.9929394899831125]}"
4,0,11.526640690966339,0.74007124,10.0,77.18777777777342,2.8392358,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.346088833515125,-2.999407360028773]}"
5,0,11.245058495927767,1.7898412,255.53864678361276,80.46111111111767,7.315761,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36737890574876,-2.99765564522474]}"
6,0,12.577752071072949,1.4037747,90.0,75.00000000001484,1.6409403,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36522294906687,-2.9914572697643154]}"
7,0,11.862789663063614,7.1723766,70.71067811865476,93.55444444447478,11.542856,11.376801,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.37586798518369,-2.9963081722985607]}"
8,0,9.556515871998121,0.1086188,41.23105625617661,73.94444444444323,3.2794843,27.356215,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.350131252293664,-2.971245175871626]}"
9,0,10.088778694416629,3.113721,67.0820393249937,76.01333333334162,2.738354,26.11232,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36333648697022,-2.9886275766193386]}"
10,0,12.326944468883376,1.4418834,86.02325267042627,77.90666666667462,0.3956983,27.356215,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.37047809347897,-2.9990031181509194]}"
11,0,11.305204954782697,3.6713796,410.0,84.73444444441769,7.717236,12.223724,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.34770580102654,-2.984315663255565]}"
12,0,11.077835099903469,0.3791697,258.0697580112788,82.14888888888484,4.509984,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.34905327395272,-2.9984641289804475]}"
13,0,9.295038888358745,4.955177,30.0,72.5344444444628,3.5966098,27.356215,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.34703206456345,-2.970840933993772]}"
14,0,12.007265545341182,0.92072135,110.45361017187261,78.99777777776737,4.4765134,22.990671,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36980435701588,-3.0035845260999285]}"
15,0,11.80095464577104,4.339626,36.05551275463989,81.24111111116036,5.490057,12.643678,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.34528034975942,-2.9981946343952117]}"
16,0,9.57337505705423,2.1388934,36.05551275463989,72.90999999998628,1.9177002,27.356215,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35120923063461,-2.971110428579008]}"
17,0,11.620621107898367,1.532191,100.0,80.1866666666725,8.260927,12.0866785,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.366705169285666,-3.006818461122759]}"
18,0,11.079835989198402,0.42991093,252.38858928247924,82.14111111110665,4.833378,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.34905327395272,-2.9983293816878294]}"
19,0,10.981214067690319,3.0512779,350.5709628591621,83.5955555555423,6.762362,12.283532,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.348244790197015,-2.9839114213777114]}"
20,0,10.023771688832163,7.5713506,50.0,80.64111111106476,8.121471,11.552081,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.362258508629274,-2.984046168670329]}"
21,0,12.47572728482071,0.22615041,116.61903789690601,74.42888888888747,4.1439505,27.356215,19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.352691450853406,-2.9744791108944564]}"
22,0,11.537160361301838,2.0990252,94.33981132056603,77.38111111109856,5.0,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36966960972326,-3.001159074832806]}"
23,0,8.42738545382137,8.432736,108.16653826391969,74.02444444444305,3.9587743,25.54207,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.343663382248,-2.9701671975306825]}"
24,0,11.793744339564558,1.2562351,36.05551275463989,76.6322222222276,3.387293,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36953486243065,-3.0000810964918627]}"
25,0,9.775444532035007,6.330877,86.02325267042627,79.30111111108644,8.021263,12.496273,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.3504007468789,-2.9698977029454467]}"
26,0,9.367017475952636,1.772367,180.0,76.06555555555074,5.067069,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.34703206456345,-2.9721884069199516]}"
27,0,11.67287554787412,1.434433,353.5533905932738,79.78555555557082,7.7252946,12.301728,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36414497072593,-2.9952301939576174]}"
28,0,11.334460473729642,2.2678325,224.7220505424423,90.72333333330937,8.145313,11.506064,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.37761969998772,-2.9984641289804475]}"
29,0,10.122903926380712,4.8237953,53.85164807134504,75.77555555555084,1.104583,23.92863,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36374072884807,-2.9890318184971925]}"
30,0,9.42520341329925,1.1174704,197.9898987322333,75.29777777778327,2.8370013,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.34972701041581,-2.972727396090423]}"
31,0,11.387998904464325,0.7584884,380.0,86.43888888888685,9.591113,12.181916,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.347975295611775,-2.984585157840801]}"
32,0,13.072071929125674,7.0140533,72.11102550927978,73.84555555559314,2.0065954,27.356215,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.354038923779584,-2.9758265838206355]}"
33,0,11.942740435426416,3.6965835,42.426406871192846,101.24000000002901,12.0,12.167124,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.377350205402486,-2.995499688542853]}"
34,0,11.35659474670369,1.5335958,126.49110640673518,83.08111111112242,5.685445,11.987506,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36630092740781,-3.0083006813415563]}"
35,0,11.77004763688922,3.3366299,64.03124237432849,88.60111111112505,0.80110383,12.720615,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.377484952695106,-2.996847161469032]}"
36,0,10.582930687669187,2.6366792,40.0,77.58888888891444,2.5629132,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35174821980508,-2.9797342553065556]}"
37,0,11.774825915660713,1.8984023,354.682957019364,79.64777777777736,6.9192777,23.882627,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.3617195194588,-2.9909182805938435]}"
38,0,11.894012558040076,1.5795107,130.0,78.40888888887311,5.7602596,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36980435701588,-3.0023718004663675]}"
39,0,9.606906178479235,4.42656,120.0,77.91222222220037,4.314945,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35134397792722,-2.989975049545518]}"
40,0,13.044312090898373,2.787272,64.03124237432849,80.78888888888447,5.9464664,12.462757,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.368861125967555,-2.993613226446202]}"
41,0,12.530629910175119,6.343567,41.23105625617661,75.95444444446565,1.9692627,27.356215,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35349993460911,-2.9762308256984893]}"
42,0,12.156330498070876,2.1925645,92.19544457292886,78.46555555553297,3.1637948,27.356215,19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.34554984434465,-3.0007548329549523]}"
43,0,11.121647449670427,0.655082,308.7069808086626,81.59111111111301,6.0,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.366839916578286,-2.99765564522474]}"
44,0,11.574358151461425,0.0,36.05551275463989,77.0,0.7814125,27.356215,33,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.3466278226856,-2.997386150639504]}"
45,0,12.925618350278677,1.8901801,141.4213562373095,76.71444444443694,1.1867151,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.364953454481636,-2.9928047426904945]}"
46,0,9.532921793032767,0.77752376,250.0,81.71222222222022,5.900419,12.228846,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.34945751583057,-2.980542739062263]}"
47,0,10.187106480108977,5.001654,0.0,82.60777777774054,15.644951,10.987974,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36360598155546,-2.9875495982783953]}"
48,0,9.945087057962763,5.599035,76.15773105863909,82.7311111110709,11.852802,11.556074,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.362393255921894,-2.983641926792475]}"
49,0,10.652033727569323,0.4690092,234.0939982143925,80.96888888889058,9.776751,19.99075,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.350265999586284,-2.978521529672994]}"
50,0,11.937462242728062,0.70121014,431.8564576337837,81.41333333333051,10.525416,12.456492,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36131527758095,-2.9914572697643154]}"
51,0,11.603542464824944,0.39946043,411.9465984809196,86.30222222221906,11.453088,12.503485,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.34770580102654,-2.9851241470112724]}"
52,0,9.286074023573072,1.8743864,140.0,74.8311111111136,2.0194016,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.34581933892989,-2.9719189123347154]}"
53,0,10.13791206506004,0.58040684,180.0,80.36777777777988,9.146117,26.327375,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35053549417152,-2.9795995080139375]}"
54,0,12.602368759993686,0.81850356,0.0,77.28000000000893,0.06373965,27.356215,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.34474136058895,-3.0003505910770984]}"
55,0,11.627167142378006,1.2573037,56.568542494923804,78.76111111110546,2.4253476,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.346088833515125,-3.0003505910770984]}"
56,0,12.249410858641085,1.1393005,31.622776601683796,74.7322222222241,3.0843117,27.356215,19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.355655891291,-2.975018100064928]}"
57,0,10.849562714588657,1.1057855,40.0,77.78333333334139,3.1481795,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35174821980508,-2.9795995080139375]}"
58,0,11.208987073003778,0.8161973,220.2271554554524,77.7144444444414,4.9841676,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.354577912950056,-2.9791952661360837]}"
59,0,12.96576463058376,3.6024911,58.309518948453004,79.22222222220512,7.6440945,12.309429,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36818738950446,-2.9932089845683483]}"
60,0,13.121517574700821,4.188367,0.0,78.19333333331073,2.918311,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36751365304138,-2.993613226446202]}"
61,0,11.468907357641886,0.0,50.0,77.0,0.6258493,27.356215,33,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.346358328100365,-2.9980598871025936]}"
62,0,12.422511129216769,2.4348452,67.0820393249937,78.9277777777808,1.6167153,14.458688,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.375059501427984,-2.9983293816878294]}"
63,0,9.972143686847451,2.7508738,22.360679774997898,72.65222222223467,1.5534524,27.356215,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35093973604937,-2.9717841650420977]}"
64,0,11.709292461177206,4.997445,0.0,78.1100000000359,2.3608868,22.776274,33,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.34649307539298,-2.9971166560542684]}"
65,0,11.352907307987264,4.2760754,170.88007490635061,80.2711111110891,5.0827956,24.04117,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35349993460911,-2.987819092863631]}"
66,0,13.768609829443857,0.53873533,200.0,75.52111111110894,4.521667,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.364279718018544,-2.991996258934787]}"
67,0,11.546865123392367,2.418285,31.622776601683796,81.09888888889213,2.3180547,27.356215,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36832213679708,-3.0007548329549523]}"
68,0,11.559201011831952,1.2665719,98.99494936611666,83.04333333332431,4.8610773,12.56318,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.348110042904395,-3.0008895802475704]}"
69,0,11.001276299965411,3.4289489,150.0,92.07666666663096,5.35213,12.195313,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.37815868915819,-2.997251403346886]}"
70,0,10.71192884249129,2.0253117,332.41540277189324,80.40777777778376,6.80403,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36657042199305,-2.9967124141764145]}"
71,0,14.059446230896413,2.8231668,260.1922366251538,77.85444444445432,9.079464,21.134022,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36374072884807,-2.992131006227405]}"
72,0,10.607457412207644,0.16875036,313.0495168499706,78.98777777777727,4.455492,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35983305736215,-2.9868758618153057]}"
73,0,12.534148538258574,2.9942286,31.622776601683796,78.61222222225562,2.2434225,15.804631,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.34447186600371,-3.0000810964918627]}"
74,0,11.936715798542064,3.9629014,28.284271247461902,100.02666666669572,11.329925,11.807215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.377350205402486,-2.995634435835471]}"
75,0,9.207098675319308,1.6773251,237.06539182259394,77.04222222224088,3.5896506,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.3609110357031,-2.987414850985777]}"
76,0,10.301044423329088,0.661932,191.049731745428,81.27777777777955,3.3077767,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.352556703560786,-2.9894360603750463]}"
77,0,12.046258317150878,4.074943,0.0,86.44666666671256,3.4978414,11.995772,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.37573323789107,-2.9971166560542684]}"
78,0,10.42197733569017,0.5344024,182.4828759089466,80.35444444444738,8.818753,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35053549417152,-2.9791952661360837]}"
79,0,11.939625810635519,0.18531573,0.0,77.26555555555598,0.10201239,27.356215,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36859163138232,-3.0041235152704004]}"
80,0,11.27262630984816,0.2996775,121.65525060596438,78.02888888888873,3.0657036,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35363468190173,-2.9793300134287017]}"
